# xAmp_30,yAmp_30,xAmp_15,yAmp_15,xQ_30,xQ_15,yQ_15,kiruna_Q
34.60,21.80,24.10,16.80,2,1,1,2
37.00,22.10,27.30,8.60,2,1,0,2
27.30,10.50,22.00,10.50,1,1,0,2
40.40,11.50,26.90,10.40,2,1,0,2
30.80,19.00,28.30,19.00,2,1,1,2
52.50,21.30,37.90,21.30,2,2,1,2
44.50,28.40,38.10,24.50,2,2,1,2
69.20,24.50,69.20,15.20,3,3,1,3
90.10,17.60,36.90,10.70,3,2,0,2
51.20,29.90,44.80,29.90,2,2,1,3
123.40,31.90,117.90,26.50,4,3,1,5
384.10,61.50,266.80,61.50,6,5,3,6
336.60,102.10,270.90,102.10,5,5,3,6
326.60,124.80,64.40,46.00,5,3,2,3
154.90,54.80,106.60,33.90,4,3,2,4
137.70,70.90,55.30,39.90,4,2,2,3
55.30,39.90,31.90,11.30,2,2,0,2
51.10,21.20,24.50,12.20,2,1,0,2
47.10,12.20,22.90,6.50,2,1,0,1
30.30,8.30,15.20,7.60,2,1,0,1
26.80,10.50,14.40,5.00,1,0,0,1
16.70,7.20,6.60,4.30,1,0,0,0
8.00,5.30,8.00,4.00,0,0,0,0
9.10,8.50,4.90,8.50,0,0,0,0
6.00,8.50,6.00,4.30,0,0,0,0
6.90,5.30,5.50,4.90,0,0,0,0
6.70,5.20,6.10,4.00,0,0,0,0
6.90,7.10,6.60,5.40,0,0,0,0
9.40,5.40,5.90,4.10,0,0,0,0
6.90,5.90,5.50,5.00,0,0,0,0
8.40,5.00,8.20,4.40,0,0,0,0
8.20,5.80,4.90,5.80,0,0,0,0
6.00,7.00,6.00,3.90,0,0,0,0
6.60,4.90,6.60,4.80,0,0,0,0
7.60,6.30,6.30,6.30,0,0,0,0
8.40,7.50,8.10,6.80,0,0,0,0
12.40,10.00,12.40,10.00,0,0,0,1
12.40,10.10,9.80,7.00,0,0,0,0
12.00,9.30,10.90,9.30,0,0,0,1
11.00,9.50,8.00,7.80,0,0,0,0
11.10,8.50,9.30,7.60,0,0,0,0
10.50,8.50,7.70,7.80,0,0,0,0
13.90,12.20,13.20,12.00,0,0,0,1
13.20,13.10,10.70,9.40,0,0,0,1
14.80,15.20,14.80,15.00,0,0,1,1
19.30,15.00,16.90,13.50,1,1,0,1
27.20,23.50,27.20,23.50,1,1,1,2
27.20,23.50,5.70,9.80,1,0,0,0
14.80,17.50,14.80,17.10,0,0,1,1
7.10,9.50,4.70,2.40,0,0,0,0
4.80,5.10,3.10,4.60,0,0,0,0
5.30,4.60,4.10,3.40,0,0,0,0
4.10,3.40,3.40,2.90,0,0,0,0
5.00,4.30,5.00,4.30,0,0,0,0
9.60,5.40,7.70,4.60,0,0,0,1
59.30,22.90,52.70,22.90,2,2,1,3
61.00,50.10,36.80,48.40,3,2,2,3
38.50,57.80,38.50,22.40,2,2,1,3
91.80,37.80,60.20,36.90,3,3,2,3
60.20,42.20,24.70,9.70,3,1,0,2
39.40,15.70,24.30,12.60,2,1,0,2
43.70,16.30,21.40,5.30,2,1,0,2
22.00,5.70,14.50,4.00,1,0,0,1
19.50,7.20,19.50,4.30,1,1,0,2
47.90,8.50,47.90,8.50,2,2,0,3
50.10,10.50,17.30,9.40,2,1,0,1
20.60,22.10,17.20,14.50,1,1,0,2
36.60,19.80,21.00,15.20,2,1,1,1
26.40,17.80,21.00,16.00,1,1,1,2
38.10,22.60,19.40,11.60,2,1,0,1
19.40,14.10,6.70,4.30,1,0,0,0
11.00,8.10,6.60,5.00,0,0,0,0
6.60,8.30,4.90,7.30,0,0,0,0
11.60,8.80,9.00,8.20,0,0,0,0
9.00,8.90,6.60,4.00,0,0,0,0
7.80,7.70,7.30,5.70,0,0,0,0
8.90,13.50,8.20,9.80,0,0,0,1
8.20,9.80,5.70,4.70,0,0,0,0
8.00,11.90,8.00,10.10,0,0,0,0
8.00,10.20,5.80,7.40,0,0,0,1
7.10,10.70,6.30,7.70,0,0,0,0
15.60,11.90,11.40,7.30,1,0,0,1
22.80,27.80,20.50,24.20,1,1,1,2
32.80,38.70,32.40,20.00,2,2,1,2
32.40,27.90,20.50,21.20,2,1,1,2
22.30,29.10,13.70,10.70,1,0,0,1
19.00,11.80,13.50,5.80,1,0,0,1
24.30,8.80,24.10,8.80,1,1,0,2
25.80,14.00,16.90,8.60,1,1,0,1
19.40,11.00,14.10,6.20,1,0,0,1
20.70,9.20,13.20,8.30,1,0,0,1
13.80,8.50,9.00,6.50,0,0,0,0
9.00,6.80,7.50,5.70,0,0,0,0
7.50,5.70,4.90,4.10,0,0,0,0
7.20,4.70,7.20,4.40,0,0,0,0
8.70,7.00,5.70,5.20,0,0,0,0
6.90,6.00,4.90,4.70,0,0,0,0
5.00,4.70,3.80,3.50,0,0,0,0
